name	domain	category	rounds	com_status	price	renewal	premium	fed_active	fed_dissolved	fed_total	fed_sample	verdict
Heliosforge	heliosforge.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Heliosworks	heliosworks.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Helixar	helixar.com	tech_latin_abstract	v3	TAKEN				0	0	0		TAKEN
Helixor	helixor.com	tech_mid	v3	TAKEN				0	0	0		TAKEN
Helvanora	helvanora.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Helvarin	helvarin.com	latin_long	v6	TAKEN				0	0	0		TAKEN
Helvelta	helvelta.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Hento	hento.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Heraclesforge	heraclesforge.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Holdfield	holdfield.com	two_word_pro	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Holdwell	holdwell.com	two_word_pro	v1	TAKEN				0	0	0		TAKEN
Holdwright	holdwright.com	two_word_pro	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Holvant	holvant.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Holvarith	holvarith.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Holvor	holvor.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Hrovendell	hrovendell.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Hyperia	hyperia.com	tech_latin_abstract	v3	TAKEN				1	0	1	HYPERIA CAPITAL INC. (Active)	TAKEN
Hyperionforge	hyperionforge.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Hyperionworks	hyperionworks.com	greek_roman_chad	v2	TAKEN				0	0	0		TAKEN
Indralor	indralor.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Indrar	indrar.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Indrelta	indrelta.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Ironbench	ironbench.com	two_word_pro	v1	TAKEN				0	0	0		TAKEN
Ironbrook	ironbrook.com	two_word	v6	TAKEN				0	1	1	IRONBROOK INC. (Dissolved for non-co)	TAKEN
Irovendel	irovendel.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Ivelta	ivelta.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Iverando	iverando.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Ivermel	ivermel.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Iverto	iverto.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Jelvelta	jelvelta.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Jorto	jorto.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Jorvant	jorvant.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Jorvenor	jorvenor.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Jovaron	jovaron.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Jovendar	jovendar.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Jovenrik	jovenrik.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Jrovendel	jrovendel.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Kalvor	kalvor.com	tech_general	v5	TAKEN				0	0	0		TAKEN
Kalvora	kalvora.com	tech_short	v3	TAKEN				0	0	0		TAKEN
Kalvto	kalvto.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karandel	karandel.com	enterprise_invented	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karavant	karavant.com	compound_modern	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karelvaris	karelvaris.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karenvor	karenvor.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karpath	karpath.com	modern_abstract	v1	TAKEN				0	0	0		TAKEN
Karplex	karplex.com	compound_modern	v1	TAKEN				0	0	0		TAKEN
Karraxis	karraxis.com	tech_latin_abstract	v3	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvanence	karvanence.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvanta	karvanta.com	enterprise_invented	v2	TAKEN				0	0	0		TAKEN
Karvantheria	karvantheria.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvarica	karvarica.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvaris	karvaris.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvaros	karvaros.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvatial	karvatial.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvatic	karvatic.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvatide	karvatide.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvatier	karvatier.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
Karvavos	karvavos.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR
