category	name	domain	whois_com	fed_active	fed_dissolved	fed_total	fed_sample	fed_error
greek_roman_chad	Mercuryforge	mercuryforge.com	TAKEN	0	0	0		
greek_roman_chad	Mercuryvault	mercuryvault.com	TAKEN	0	0	0		
greek_roman_chad	Mercuryworks	mercuryworks.com	TAKEN	0	0	0		
tech_short	Mireo	mireo.com	TAKEN	0	0	0		
modern_abstract	Mirvex	mirvex.com	TAKEN	0	0	0		
enterprise_invented	Morexa	morexa.com	TAKEN	0	0	0		
tech_mid	Norandor	norandor.com	AVAILABLE	0	0	0		
tech_modern	Norant	norant.com	TAKEN	0	0	0		
modern_abstract	Norellis	norellis.com	TAKEN	0	0	0		
enterprise_invented	Norelo	norelo.com	TAKEN	0	0	0		
tech_short	Norora	norora.com	TAKEN	0	0	0		
compound_modern	Norplex	norplex.com	TAKEN	0	0	0		
tech_latin_abstract	Norraxis	norraxis.com	AVAILABLE	0	0	0		
tech_general	Northfield	northfield.com	TAKEN	5	3	8	PAUL NORTHFIELD ENTERPRISES INC. LES ENT (Dissolved by the cor)	
tech_general	Northport	northport.com	TAKEN	2	0	2	NORTHPORT INVESTMENT INC. (Active)	
tech_general	Northridge	northridge.com	TAKEN	1	8	9	Northridge Canada Inc. (Inactive - Amalgamat)	
tech_general	Northstone	northstone.com	TAKEN	6	1	7	Northstone Builds Inc. (Active)	
tech_general	Northwell	northwell.com	TAKEN	3	0	3	NORTHWELL CAPITAL CORPORATION (Active)	
two_word_pro	Northwright	northwright.com	TAKEN	0	0	0		
compound_modern	Norvant	norvant.com	TAKEN	0	0	0		
enterprise_invented	Norvanta	norvanta.com	TAKEN	1	0	1	NORVANTA CONTRACTORS INC. (Active)	
tech_modern	Norvare	norvare.com	AVAILABLE	0	0	0		
tech_general	Norvaris	norvaris.com	TAKEN	0	0	0		
tech_modern	Norvdanti	norvdanti.com	AVAILABLE	0	0	0		
modern_abstract	Norven	norven.com	TAKEN	1	0	1	Norven Holdings Inc. (Active)	
tech_latin_abstract	Norveritas	norveritas.com	AVAILABLE	0	0	0		
tech_general	Norveska	norveska.com	TAKEN	0	0	0		
tech_general	Norvesta	norvesta.com	TAKEN	0	0	0		
enterprise_invented	Norvic	norvic.com	TAKEN	1	2	3	Les IMPORTATIONS NORVIC LtÉE NORVIC IMPO (Dissolved by the cor)	
tech_general	Norvik	norvik.com	TAKEN	2	3	5	Aviation Norvik Inc. (Active)	
tech_short	Norvo	norvo.com	TAKEN	0	0	0		
tech_general	Norvor	norvor.com	TAKEN	0	0	0		
tech_general	Norvoria	norvoria.com	TAKEN	0	0	0		
two_word_pro	Oakreach	oakreach.com	TAKEN	0	0	0		
tech_mid	Olvana	olvana.com	TAKEN	0	0	0		
tech_mid	Olvandor	olvandor.com	AVAILABLE	0	0	0		
tech_modern	Olvant	olvant.com	TAKEN	0	0	0		
enterprise_invented	Olvanta	olvanta.com	TAKEN	0	0	0		
tech_modern	Olvare	olvare.com	TAKEN	0	0	0		
tech_general	Olvaris	olvaris.com	TAKEN	0	0	0		
tech_modern	Olvbase	olvbase.com	AVAILABLE	0	0	0		
tech_general	Olvcore	olvcore.com	TAKEN	0	0	0		
tech_modern	Olvdanti	olvdanti.com	AVAILABLE	0	0	0		
enterprise_invented	Olveris	olveris.com	TAKEN	0	0	0		
tech_latin_abstract	Olveritas	olveritas.com	TAKEN	0	0	0		
pro_invented_short	Olverra	olverra.com	TAKEN	0	0	0		
pro_invented_short	Olvert	olvert.com	TAKEN	0	0	0		
tech_general	Olvex	olvex.com	TAKEN	0	0	0		
tech_general	Olvik	olvik.com	TAKEN	0	0	0		
tech_general	Olvor	olvor.com	TAKEN	0	0	0		
tech_short	Olvora	olvora.com	TAKEN	0	0	0		
tech_general	Olvoria	olvoria.com	TAKEN	0	0	0		
tech_short	Olvox	olvox.com	TAKEN	0	0	0		
tech_latin_abstract	Olvraxis	olvraxis.com	AVAILABLE	0	0	0		
greek_roman_chad	Olympiaforge	olympiaforge.com	TAKEN	0	0	0		
greek_roman_chad	Olympiaworks	olympiaworks.com	TAKEN	0	0	0		
tech_general	Orvelta	orvelta.com	TAKEN	0	0	0		
two_word_pro	Patientwell	patientwell.com	TAKEN	0	0	0		
tech_latin_abstract	Pegasos	pegasos.com	TAKEN	0	0	0		
modern_abstract	Pelden	pelden.com	TAKEN	0	0	0		
tech_mid	Pelica	pelica.com	TAKEN	0	0	0		
tech_general	Pelmedora	pelmedora.com	AVAILABLE	0	0	0		
tech_general	Peltarion	peltarion.com	TAKEN	0	0	0		ConnectionError
tech_general	Pelvarist	pelvarist.com	AVAILABLE	0	0	0		
tech_general	Pelvor	pelvor.com	TAKEN	0	0	0		
tech_modern	Pengrid	pengrid.com	TAKEN	0	0	0		
tech_modern	Plenant	plenant.com	TAKEN	0	0	0		ConnectionError
tech_general	Plenantheria	plenantheria.com	AVAILABLE	0	0	0		ConnectionError
tech_modern	Plenare	plenare.com	TAKEN	0	0	0		ConnectionError
tech_general	Plenarica	plenarica.com	AVAILABLE	0	0	0		ChunkedEncodingError
tech_general	Plenaris	plenaris.com	TAKEN	0	0	0		
tech_general	Plenaros	plenaros.com	AVAILABLE	0	0	0		ConnectionError
tech_general	Plenatic	plenatic.com	AVAILABLE	0	0	0		
tech_general	Plenatide	plenatide.com	AVAILABLE	0	0	0		
tech_general	Plenavara	plenavara.com	AVAILABLE	0	0	0		
tech_general	Plenavos	plenavos.com	AVAILABLE	0	0	0		
tech_modern	Plendanti	plendanti.com	AVAILABLE	0	0	0		
compound_modern	Plendex	plendex.com	TAKEN	0	0	0		
tech_short	Plendo	plendo.com	TAKEN	0	0	0		
pro_invented_short	Plendor	plendor.com	TAKEN	0	0	0		
tech_general	Plendroma	plendroma.com	AVAILABLE	0	0	0		
tech_general	Plenitheon	plenitheon.com	AVAILABLE	0	0	0		
tech_general	Plenodex	plenodex.com	AVAILABLE	0	0	0		
tech_general	Plenometric	plenometric.com	AVAILABLE	0	0	0		
tech_general	Plenonex	plenonex.com	AVAILABLE	0	0	0		
tech_short	Plenora	plenora.com	TAKEN	0	0	0		
tech_general	Plenorant	plenorant.com	AVAILABLE	0	0	0		
tech_general	Plenoria	plenoria.com	TAKEN	0	0	0		
tech_general	Plenova	plenova.com	TAKEN	0	0	0		
tech_latin_abstract	Plenraxis	plenraxis.com	AVAILABLE	0	0	0		
tech_general	Plentor	plentor.com	TAKEN	0	0	0		
tech_general	Plenveriant	plenveriant.com	AVAILABLE	0	0	0		
tech_latin_abstract	Plenveritas	plenveritas.com	AVAILABLE	0	0	0		
tech_general	Plenverith	plenverith.com	AVAILABLE	0	0	0		
tech_general	Plenvex	plenvex.com	TAKEN	0	0	0		
tech_general	Plenwave	plenwave.com	AVAILABLE	0	0	0		
enterprise_invented	Plevor	plevor.com	TAKEN	0	0	0		
tech_short	Plyma	plyma.com	TAKEN	0	0	0		
tech_general	Plymara	plymara.com	AVAILABLE	0	0	0		
enterprise_invented	Plyna	plyna.com	TAKEN	0	0	0		
tech_short	Plyx	plyx.com	TAKEN	0	0	0		
tech_short	Plyxora	plyxora.com	TAKEN	0	0	0		
tech_modern	Polant	polant.com	TAKEN	0	0	0		
modern_abstract	Polden	polden.com	TAKEN	0	0	0		
greek_roman_chad	Praetorian	praetorian.com	TAKEN	4	3	7	PRAETORIAN GUARD INTERNATIONAL HOLDING C (Dissolved for non-co)	
modern_abstract	Praven	praven.com	TAKEN	0	0	0		
enterprise_invented	Pravex	pravex.com	TAKEN	0	0	0		
tech_general	Pravin	pravin.com	TAKEN	2	0	2	pravIN CRM Solutions  Inc. (Active)	
tech_latin_abstract	Praxara	praxara.com	TAKEN	0	0	0		
pro_invented_short	Praxion	praxion.com	TAKEN	0	0	0		
enterprise_invented	Praxor	praxor.com	TAKEN	0	0	0		
tech_mid	Praxos	praxos.com	TAKEN	0	0	0		
tech_general	Prendarith	prendarith.com	AVAILABLE	0	0	0		
tech_short	Preno	preno.com	TAKEN	0	0	0		
tech_general	Provet	provet.com	TAKEN	0	1	1	PROVET INC. (Dissolved by the cor)	
tech_mid	Quantix	quantix.com	TAKEN	1	1	2	QUANTIX TRADING CORPORATION (Dissolved for non-co)	
tech_general	Quietfield	quietfield.com	TAKEN	0	0	0		
tech_general	Quietport	quietport.com	TAKEN	0	0	0		
tech_general	Quietridge	quietridge.com	TAKEN	0	0	0		
tech_general	Quietstone	quietstone.com	TAKEN	0	0	0		
tech_general	Quietwell	quietwell.com	TAKEN	0	0	0		
tech_general	Quintaval	quintaval.com	AVAILABLE	0	0	0		
tech_general	Quintavor	quintavor.com	AVAILABLE	0	0	0		
tech_latin_abstract	Quintos	quintos.com	TAKEN	1	0	1	MARJORIE QUINTOS MANAGEMENT INC. GESTION (Active)	
tech_general	Quivor	quivor.com	TAKEN	0	0	0		
tech_general	Quivora	quivora.com	TAKEN	0	0	0		
